Run,AoA,Turb int,Turb len,Stag pres,Stag enth,Cowl trans,Ramp trans,Exit press 0.30,Exit press 0.35
1.0000000000000000e+00,4.0853543329360233e+00,1.8016446271431552e+00,1.9102553346833048e+02,1.7459376735748928e+07,3.0824919795339745e+06,4.2544937575699396e-02,1.7787684216801308e-01,2.6685230000000000e+00,3.0556679999999998e+00
2.0000000000000000e+00,3.8263317015031983e+00,7.8285931537184172e-01,1.7302008657673642e+02,1.8609679402041964e+07,3.1552615601828042e+06,3.3486751637494358e-02,8.9838030700855859e-02,2.5231970000000001e+00,2.8252969999999999e+00
3.0000000000000000e+00,4.1556634478953356e+00,1.8087247844143033e+00,3.4746841476440613e+02,1.7000357800142251e+07,3.1814761480337083e+06,6.5656684765056650e-02,1.4056881048980852e-01,2.5992250000000001e+00,2.9513569999999998e+00
4.0000000000000000e+00,4.3760707232326572e+00,1.4504888449350428e+00,1.8461827788764589e+02,1.7455032293019626e+07,3.2856120659471541e+06,5.4047180986347858e-02,1.0775033196215507e-01,2.5756850000000000e+00,2.8831850000000001e+00
5.0000000000000000e+00,4.2201362192876273e+00,3.9509498332790527e-01,2.7764679054861915e+02,1.7596059390321873e+07,3.0937973644875274e+06,4.3267048930920364e-02,1.3678536734038399e-01,2.5338310000000002e+00,2.8572839999999999e+00
6.0000000000000000e+00,4.4886631531273489e+00,5.7588163733040165e-01,1.2700708608636769e+02,1.7547987579851758e+07,3.1405452110928479e+06,5.4606862551482310e-02,1.9314811985095043e-01,2.5734430000000001e+00,2.9307230000000000e+00
7.0000000000000000e+00,2.8635811633812827e+00,1.6162475192667698e+00,3.3356936456271194e+02,1.8139672189197131e+07,3.1672735309765791e+06,5.9727362860677549e-02,1.9513282130098167e-01,2.4817239999999998e+00,2.7734880000000000e+00
8.0000000000000000e+00,4.2342069965088971e+00,1.8254939429805861e-01,1.8797644309562639e+02,1.7178464979139511e+07,3.2690822112988839e+06,6.6808541774007843e-02,9.2220010917558354e-02,2.4011350000000000e+00,2.6760820000000001e+00
9.0000000000000000e+00,3.0673757695651829e+00,1.6757116525137425e+00,1.3665176387468287e+02,1.8871988540486597e+07,3.2002858183622332e+06,6.6841075148706797e-02,1.3505348001102602e-01,2.5282979999999999e+00,2.8042310000000001e+00
1.0000000000000000e+01,3.4454532773305440e+00,7.9242714740532794e-01,2.7846118947260823e+02,1.7004198260645013e+07,3.4200952315705186e+06,3.0720227765990267e-02,1.5427664136917524e-01,2.3279899999999998e+00,2.5805650000000000e+00
1.1000000000000000e+01,4.3989548242809651e+00,1.0234592765437793e+00,1.8741243062867221e+02,1.8837066742934518e+07,3.3772833797034211e+06,6.6541779407220891e-02,1.8445044727184637e-01,2.5600149999999999e+00,2.8417940000000002e+00
1.2000000000000000e+01,2.9177971767795916e+00,1.0890920270759912e+00,2.6622180535041548e+02,1.6826672382163811e+07,3.2902461699594171e+06,6.5754097189349769e-02,1.3306613552676522e-01,2.3171919999999999e+00,2.5782550000000000e+00
1.3000000000000000e+01,2.7076256889065280e+00,1.3449683349105668e+00,3.5239893345103394e+02,1.8467192928766664e+07,3.3363913991275560e+06,3.0372419234526545e-02,1.8688183930260321e-01,2.4137620000000002e+00,2.6410760000000000e+00
1.4000000000000000e+01,3.4427629660546857e+00,1.0830992579874535e-01,2.0552771190586219e+02,1.8977973670373291e+07,3.4043936072261287e+06,4.6071669536826849e-02,9.3604798410442294e-02,2.3701840000000001e+00,2.5861839999999998e+00
